IA_STATION_ID,NAME,SIGMA_ASQ,PHI (A),NUGGET,RMSE,NORTHING,EASTING,DRNAREA,PRECIP,SOILB,SOILC,SOILD,RSD,HYSEP,STREAM_VAR
05319500,Watonwan River near Garden City.  MN,0.06850706,395493.6722,0,0.119022234,4877715.831,404225.1055,872.992361,28.9786,90.649,2.845,0.772,0.326877,54.72943,0.675641
05320500,Le Sueur River near Rapidan.  MN,0.061376515,366949.2341,0,0.111911638,4884737.141,416666.8816,1128.00093,31.54584,58.7562,25.6712,8.9283,0.325757,58.04331,0.572806
05387500,Upper Iowa River at Decorah.  IA,0.044107162,405471.9296,0,0.104229965,4795377.352,597686.9568,510.819656,34.41053,86.561,6.65,4.541,0.282376,61.90719,0.37651
05388250,Upper Iowa River near Dorchester.  IA,0.03824226,460133.3333,0,0.092754382,4808657.175,620716.636,767.689285,34.24298,89.294,5.042,3.171,0.282103,61.2183,0.37264
05389400,Bloody Run Creek near Marquette.  IA,0.021972673,460133.3078,0,0.055329376,4766908.336,646088.5659,34.302808,34.12584,99.367,0.393,0.003,0.264745,62.70056,0.342677
05410490,Kickapoo River at Steuben.  WI,0.01325725,460133.3338,0,0.050501569,4783336.582,674037.7642,699.753038,34.25607,90.9744,7.3755,0.4317,0.329376,78.03033,0.205709
05412400,Volga River at Littleport.  IA,0.017546332,276080.005,0,0.076682455,4734773.446,633468.9178,350.432119,35.17584,88.973,4.096,0.847,0.302273,57.15179,0.403933
05412500,Turkey River at Garber.  IA,0.026856178,454535.8721,0,0.081491317,4733406.521,642275.6038,1553.300594,34.82552,87.796,4.788,2.7,0.291105,57.71196,0.3953
05413500,Grant River at Burton.  WI,0.018234727,368106.6667,0,0.050449877,4732057.936,678553.4801,269.401373,34.11145,85.032,13.774,0.547,0.274794,63.78077,0.309789
05414820,Sinsinawa River near Menominee.  IL,0.028286988,460133.3261,0,0.059261817,4705979.023,706587.1832,39.971032,35.34853,94.411,2.464,2.941,0.249612,63.15788,0.335763
05418400,North Fork Maquoketa River near Fulton.  IA,0.020509096,413532.8317,0,0.054245677,4670528.144,687661.1653,502.947462,34.81095,91.164,1.583,1.656,0.280142,59.01363,0.384563
05418500,Maquoketa River near Maquoketa.  IA,0.01957979,460133.3333,0,0.061381959,4661742.292,695786.2466,1550.931047,35.05288,89.583,1.941,1.103,0.289593,58.27675,0.41595
05419000,Apple River near Hanover.  IL,0.024954741,496343.6867,0,0.046946565,4681411.194,723886.4846,247.095852,35.9773,81.817,8.279,9.522,0.27489,68.11019,0.32213
05421000,Wapsipinicon River at Independence.  IA,0.031702292,453017.0922,0,0.095432333,4701842.295,590832.6068,1052.554245,35.26888,92.502,2.604,0.07,0.33215,57.45134,0.440889
05422000,Wapsipinicon River near De Witt.  IA,0.016984093,460133.3333,0,0.07648324,4626841.381,704907.5159,2335.579787,35.54509,89.391,2.038,0.217,0.328221,56.14495,0.461446
05422560,Duck Creek at 110th Ave at Davenport. IA,0.031438837,460133.3333,0,0.064733084,4603140.797,692833.8552,15.516256,35.91682,92.037,7.755,0,0.425207,54.21051,0.498995
