IN_STATION_ID,NAME,SIGMA_ASQ,PHI (A),NUGGET,RMSE,Y,X,DA,CLat,DJF.Precip,SON.Precip,AWC,STAT.Perm,PermBXThick,QSS_PermBXThick
03335000,Wildcat Creek near Lafayette. IN,0.015821892,324205.332,0,,1973527.023,770047.718,794,40.38904804,2.374902116,3.087080052,18.7404,1.1316,1031.718753,6.1100001
03335700,Big Pine Creek near Williamsport. IN,0.012973849,324205.3584,0,,1956162.035,732730.5699,323,40.52244387,2.03276455,2.964534121,18.9493,1.5917,571.3634481,3.5799999
03339108,East Fork Coal Creek near Hillsboro. IN,0.007055396,259364.252,0,,1933342.892,748545.4664,32.5,40.09596768,2.334527778,3.101427822,19.3857,1.6064,853.09495,12.41
03339280,Prairie Creek near Lebanon. IN,0.016333783,225190.095,0,,1938590.832,799504.2119,33.3,40.04541784,2.475170635,3.180783465,19.1622,1.039,3179.046465,12.76
03339500,Sugar Creek at Crawfordsville. IN,0.01538924,252194.1171,0,,1929283.972,768370.4659,510,40.12777901,2.392074074,3.124721785,19.2908,1.2289,2136.959319,10.8
03340000,Sugar Creek near Byron. IN,0.021822161,298463.6467,0,,1914272.565,750617.1842,670,40.09840586,2.404234127,3.145427822,19.1953,1.3475,2026.624386,12.27
03341000,Big Raccoon Creek at Mansfield. IN,0.009647227,247921.7245,0,,1886006.538,755305.2103,248,39.84533992,2.520915344,3.249141732,19.315,1.044,434.8318124,4.46
03342150,West Fork Busseron Creek near Hymera. IN,0.009948165,324205.332,0,,1829598.72,741046.2429,14.3,39.24073768,2.665574074,3.33366273,17.8279,1.0132,73.1816986,2
03348020,Killbuck Creek near Gaston. IN,0.012267136,236915.4809,0,,1965115.979,882237.9801,24.3,40.27129325,2.410580688,2.991185039,17.4654,0.6439,56.49977589,1.6
03348130,White River at Raible Avenue at Anderson. IN,0.022145126,226476.1457,0,,1946416.732,867650.6609,515,40.14520541,2.387736772,3.006628609,18.038,0.931,938.0305964,7.04
03348350,Pipe Creek at Frankton. IN,0.014272432,259364.2656,0,,1958895.017,861594.8484,113,40.29273337,2.467121693,3.088396325,17.383,0.8104,295.5298639,3.1099999
03348500,White River near Noblesville. IN,0.012112653,259364.2656,0,,1946234.362,846270.1165,824,40.18253891,2.410121693,3.042028871,18.1092,0.9934,836.865694,6.9400001
03349000,White River at Noblesville. IN,0.017380096,259364.2601,0,,1936564.531,842732.6563,854,40.17975549,2.410205026,3.047380577,18.1256,0.9975,863.4886138,7.2199998
03349500,Cicero Creek near Arcadia. IN,0.014805165,259364.2656,0,,1951132.022,842939.8026,131,40.24606234,2.437161376,3.140750656,19.2496,1.5885,395.4886388,1.75
03349700,Little Cicero Creek near Arcadia. IN,0.009670749,194523.1406,0,,1950604.061,838727.7537,40.3,40.17009623,2.42935582,3.161619423,18.7954,0.8331,248.8866742,1
03350000,Cicero Creek near Cicero. IN,0.006389828,148753.0347,0,,1941196.757,840243.8344,190,40.21942391,2.432339947,3.149030184,19.8071,1.3424,341.9916579,1.51
03350100,Hinkle Creek near Cicero. IN,0.009672121,255261.7278,0,,1942003.691,836214.5314,18.3,40.11320057,2.421126984,3.184242782,18.5299,0.7932,981.5649729,3.5899999
03350700,Stony Creek near Noblesville. IN,0.014125703,200692.673,0,,1934712.697,844709.8056,51,40.06562472,2.428968254,3.155649606,18.416,1.448,477.6194603,10.25
03351000,White River near Nora. IN,0.006666217,148753.0347,0,,1920509.798,836872.2853,1220,40.16540006,2.416376984,3.084939633,18.5047,1.0959,987.679072,7.23
03351400,Sugar Creek near Middletown. IN,0.013717972,259364.2656,0,,1940325.886,884115.203,5.7,40.01515296,2.432309524,3.116003937,17.6028,0.9449,298.8402523,1
03352200,Mud Creek at Indianapolis. IN,0.011738492,194523.1992,0,,1919268.099,844576.2368,42.1,39.99373924,2.463695767,3.216767717,18.6674,0.9542,70.32704058,1
03352500,Fall Creek at Millersville. IN,0.002771142,125867.9524,0,,1914162.124,839025.6409,302,39.97564451,2.464875661,3.181043307,19.0043,1.4262,1396.332228,9.8699999
03353000,White River at Indianapolis. IN,0.002328639,83910.80413,0,,1900691.488,833390.5812,1640,40.10872029,2.426496032,3.108283465,18.5955,1.1852,1286.202914,9.3800001
03353500,Eagle Creek at Indianapolis. IN,0.007436285,228850.8226,0,,1904540.425,826137.0407,174,39.98881693,2.474558201,3.179122047,19.525,0.8755,971.4414962,4.21
03355000,Bear Creek near Trevlac. IN,0.00970007,324205.332,0,,1847902.587,823747.0479,6.8,39.30740716,2.840440476,3.424868766,11.12,2.1045,2.504420015,0.1
03357000,White River at Spencer. IN,0.002347336,167820.4441,0,,1844690.361,788307.6229,2990,39.87420615,2.526183862,3.192967192,18.2279,1.2462,1429.938265,12.12
03357350,Plum Creek near Bainbridge. IN,0.012548623,241337.8402,0,,1898624.192,785877.791,2.99,39.78400039,2.566834656,3.28243832,18.5515,0.8554,68.24282801,1
03358000,Mill Creek near Cataract. IN,0.015125671,275997.8759,0,,1861748.956,786559.3166,244,39.58651578,2.681752646,3.356863517,18.28,1.1727,474.55345,8.2799997
03359000,Mill Creek near Manhattan. IN,0.010986913,247921.7661,0,,1866523.032,772298.699,293,39.56793587,2.701666667,3.374060367,18.2576,1.1673,393.159799,7.0700002
03359500,Deer Creek near Putnamville. IN,0.010629146,323232.2172,0,,1875851.967,776330.8147,58.7,39.61577547,2.720554233,3.432038058,18.3136,1.0026,32.44939962,1
03360000,Eel River at Bowling Green. IN,0.007501989,247921.7245,0,,1853987.132,765266.4958,830,39.63678703,2.668925926,3.35596063,18.1953,1.1749,394.496018,6.4400001
03360500,White River at Newberry. IN,0.002753065,209779.9207,0,,1803323.908,770835.2411,4680,39.70749701,2.60376455,3.273171916,18.0454,1.2577,1158.199635,12.45
03362500,Sugar Creek near Edinburgh. IN,0.019299573,297618.7506,0,,1860256.423,852338.5793,474,39.6624573,2.537103175,3.193887139,18.6003,1.2046,2287.688384,13.77
03363500,Flatrock River at St. Paul. IN,0.018851389,324205.332,0,,1869864.478,882562.3615,301,39.6561842,2.662522487,3.13851706,17.9782,1.3999,2390.805512,17.059999
03363900,Flatrock River at Columbus. IN,0.02206566,324205.332,0,,1846877.294,859865.555,533,39.56989485,2.665608466,3.151729659,18.2188,1.5053,2331.993325,22.18
03364000,East Fork White River at Columbus. IN,0.020910829,324205.332,0,,1842896.315,860351.6771,1710,39.63658452,2.606753968,3.175316273,18.0933,1.4588,2832.746135,21.610001
03364200,Haw Creek near Clifford. IN,0.025129547,405085.7939,0,,1851158.962,865481.5045,47.4,39.32637486,2.748674603,3.234619423,18.4784,1.1696,223.3131073,8.9300003
03364500,Clifty Creek at Hartsville. IN,0.027295858,437123.2014,0,,1853361.117,878539.3946,91.3,39.4075635,2.772689153,3.246454068,18.551,1.0496,43.12689683,1.04
