CORRELATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.661923567,0.696717862,0.900193499,0.908278939,0.640900795,0.746638599,0.940703079,0.940703079,0.680162877,0.518143481,0.709210908,0.7673623,0.683881274,0.893152982,0.826870286,0.555422623,0.708778715,0.553124384,0.752880971,0.706457668,0.784074544,0.705659536,0.614935422,0.730149536,0.625554779,0.635292349,0.762854054,0.531891358,0.596458804,0.601218297,0.594312411,0.620722758,0.691334751,0.749986329,0.819069137,0.786871636,0.795663106,0.718646222,0.762556886,0.817770455,0.783375397,0.818381818,0.7649474,0.834184805,0.808338337,0.547479592,0.540268489,0.510047684,0.520996658,0.694272439,0.695652493,0.753512775,0.689202166,0.723484476,0.672188867,0.599653767,0.537646751,0.696107416,0.673107034,0.665723128,0.693011671,0.747317963,0.711680945,0.664429905,0.667794137,0.680179233,0.644410625,0.673438293,0.730290111,0.655081004,0.638633679,0.586727285,0.555933415,0.515331047,0.577948747,0.417511069,0.456836846,0.316155362,0.458593889,0.496766003,0.450153361,0.37300357,0.382941281,0.666137886,0.64129175,0.67223314,0.656536818,0.671177,0.666430785,0.652892096,0.622480382,0.655023069,0.550804158,0.615705104,0.316604822,0.447404979,0.448223903,0.341030777,0.603985062,0.668057413,0.617341994,0.64460366,0.677747247,0.543113651,0.687237806,0.675068732,0.568699477,0.634734482,0.528436093,0.59621666,0.616761381,0.535325576,0.516410201
0.271803672,0.308930377,0.586713275,0.637650337,0.824019352,0.793030652,0.680162877,0.710659109,0.710659109,0.510772425,0.704995017,0.766087852,0.656068286,0.918697721,0.844116221,0.559830207,0.740662229,0.54935632,0.794681647,0.714770077,0.808681141,0.714153086,0.647241744,0.758124616,0.652711077,0.672653286,0.788724239,0.564729498,0.603276648,0.609032946,0.615337977,0.639815165,0.750664867,0.811789723,0.870361369,0.865606263,0.827648257,0.783441831,0.823440501,0.822426554,0.788164628,0.867253848,0.792544574,0.879160204,0.850726326,0.536047995,0.533400235,0.513010068,0.524437633,0.681566193,0.674555472,0.738755776,0.673662325,0.719618031,0.684838755,0.618612022,0.545383984,0.705633125,0.737713919,0.735592636,0.75572136,0.782424315,0.763605854,0.65560102,0.701136861,0.706421412,0.619524464,0.669552461,0.74143404,0.666139771,0.657943489,0.600287025,0.563100541,0.534595001,0.588366295,0.410177015,0.465796174,0.281184799,0.454820228,0.484968237,0.436937986,0.354922411,0.365511864,0.68587766,0.658509354,0.698640009,0.686108476,0.712607728,0.721087915,0.71261567,0.646732947,0.71193216,0.560379002,0.623404766,0.321279151,0.466409366,0.478159274,0.361162762,0.617371978,0.694020701,0.623365155,0.659643664,0.698767775,0.564721493,0.70824277,0.689153716,0.579718896,0.666097787,0.539631673,0.595393315,0.632652324,0.524200767,0.517568706
0.099254267,0.139318216,0.358597685,0.407720956,0.650848508,0.561843897,0.518143481,0.510772425,0.800010872,0.800010872,0.786783174,0.763669766,0.704823005,0.54553609,0.615681239,0.604062584,0.797011775,0.677456607,0.468445976,0.500314668,0.553875619,0.534920225,0.541204693,0.670788982,0.567752402,0.610072328,0.589819644,0.593187037,0.630589531,0.65996977,0.659936515,0.657371729,0.404738574,0.427349734,0.477578714,0.502503561,0.51859706,0.463410015,0.476489022,0.574192187,0.653534136,0.508761717,0.645354205,0.581496278,0.613347372,0.509187803,0.538509423,0.498922255,0.492053435,0.472922016,0.442290471,0.512042407,0.466683608,0.54050479,0.575517263,0.583304842,0.534329584,0.566974916,0.353053505,0.340210882,0.371691914,0.452426531,0.391380962,0.438413136,0.468644211,0.494799354,0.496977018,0.530547858,0.549447034,0.596570483,0.585708162,0.611675269,0.611948655,0.620469346,0.629599884,0.482058846,0.473336214,0.252283748,0.423632884,0.456113109,0.409657842,0.335020297,0.346019043,0.330812697,0.345117705,0.437310916,0.573501055,0.38278765,0.370336974,0.394021744,0.514798999,0.431327007,0.602762009,0.561200094,0.399838722,0.499718684,0.577037748,0.459286168,0.505883118,0.600671423,0.499572528,0.550380774,0.595237954,0.575019945,0.621947586,0.595441097,0.498380847,0.553145389,0.524773971,0.53179828,0.593304083,0.572484991,0.564001272
0.284691785,0.324726891,0.52764023,0.570226625,0.647206696,0.651544773,0.709210908,0.704995017,0.786783174,0.76158244,0.76158244,0.709813068,0.752700365,0.351515021,0.505799698,0.601195405,0.675132148,0.701740473,0.313272874,0.401155824,0.434751387,0.483415035,0.532966706,0.598689481,0.528118352,0.575450099,0.496387786,0.598111043,0.613754617,0.643852212,0.620484271,0.614718313,0.227325428,0.268256929,0.294804417,0.313678175,0.362823634,0.289518977,0.307402679,0.450954085,0.546751474,0.354271234,0.531761752,0.432541878,0.484803011,0.512544334,0.542216102,0.520930818,0.490804227,0.397339503,0.365382638,0.435348676,0.406994083,0.484701365,0.541306067,0.520120467,0.483455209,0.507919419,0.173464832,0.175493094,0.204150009,0.301044092,0.228840866,0.388428778,0.334836164,0.378089824,0.487346688,0.485417969,0.45596268,0.525816494,0.509344352,0.553123474,0.57541949,0.568336769,0.574789951,0.491148029,0.460300576,0.346550315,0.430105407,0.49268845,0.445323496,0.39952641,0.401177735,0.202460037,0.24631869,0.335318464,0.46790309,0.247225894,0.208570709,0.24821804,0.424706448,0.297229247,0.565998976,0.505274085,0.411527517,0.486953254,0.511705223,0.393344626,0.453223034,0.494146998,0.437367503,0.458524643,0.480165269,0.513043009,0.523895426,0.504798637,0.440541278,0.45524164,0.453597282,0.476719192,0.522750161,0.536701784,0.535768015
0.357378626,0.397433922,0.57437961,0.62408426,0.625298556,0.680848514,0.7673623,0.766087852,0.763669766,0.709813068,0.949873766,0.949873766,0.835637755,0.590226601,0.75719325,0.674113305,0.798428535,0.709869456,0.505229642,0.574191547,0.62483822,0.634560056,0.679922441,0.751556307,0.678680998,0.732420255,0.709871584,0.699663738,0.703777061,0.737899057,0.726568468,0.73205655,0.383854247,0.431233661,0.489065641,0.501942005,0.570554348,0.470582189,0.49434169,0.645612288,0.685480659,0.565927371,0.682022219,0.643309071,0.702873088,0.590951371,0.621331076,0.600554884,0.598602839,0.555292736,0.511676525,0.608850708,0.559044937,0.658417897,0.719754859,0.634741335,0.584551434,0.69670674,0.377852581,0.377279427,0.41383152,0.513085803,0.442639468,0.543369428,0.514349947,0.55511256,0.601864067,0.611464672,0.631825516,0.635661906,0.617462478,0.604313607,0.625589095,0.638780506,0.657446685,0.525508971,0.541786322,0.392640482,0.519516255,0.574213973,0.531010775,0.46806754,0.475725499,0.363576825,0.385786181,0.492947225,0.598500876,0.416629084,0.387387138,0.434713358,0.569711945,0.475077324,0.578143893,0.600776884,0.337540405,0.48572134,0.490359427,0.396575345,0.548595244,0.591766633,0.545314592,0.566502133,0.594098742,0.548458668,0.648063126,0.629628407,0.480682946,0.503644749,0.488296559,0.540121739,0.612523703,0.606087252,0.585451981
0.30170317,0.334178259,0.488163984,0.504551386,0.545457732,0.605052367,0.683881274,0.656068286,0.704823005,0.752700365,0.835637755,0.844598849,0.844598849,0.678696556,0.840989615,0.686812407,0.825340603,0.695209744,0.581536703,0.65635478,0.702799451,0.690741671,0.721754597,0.791704183,0.722101793,0.771562466,0.785841054,0.724899481,0.735138654,0.762749097,0.750709546,0.77183315,0.449262288,0.499063353,0.562991769,0.577485442,0.661949385,0.534689814,0.562216387,0.721592923,0.754588083,0.642276897,0.739734989,0.72123436,0.777438733,0.622426581,0.646626779,0.62105524,0.62011626,0.635884212,0.586683271,0.687430475,0.625620557,0.732217645,0.786090947,0.675972985,0.616163381,0.7627235,0.458844996,0.453595438,0.492253016,0.598427256,0.523610145,0.619439993,0.590009721,0.634011785,0.659976961,0.662147982,0.705663561,0.69032019,0.668375525,0.631081085,0.65744757,0.666242719,0.687459235,0.539658448,0.566168034,0.389739734,0.540687197,0.599986561,0.552434493,0.471771061,0.481950145,0.443127796,0.460083035,0.555933799,0.648227229,0.489888163,0.462114735,0.505923912,0.627007322,0.54577321,0.606432786,0.644519548,0.356496782,0.510652772,0.509332097,0.397588033,0.595695389,0.634668136,0.587448942,0.612730779,0.643219997,0.577302172,0.698122616,0.682100124,0.525729165,0.553155889,0.523836315,0.569535306,0.656354282,0.636051343,0.60790249
0.723846808,0.749304895,0.861351851,0.837070389,0.477468785,0.639512625,0.893152982,0.918697721,0.54553609,0.351515021,0.590226601,0.678696556,0.598061303,0.598061303,0.767080809,0.747333609,0.821102099,0.797468801,0.496305978,0.601502529,0.607001033,0.62247709,0.666455729,0.723643443,0.668776889,0.712874056,0.666085552,0.763097882,0.735173517,0.756071233,0.747004249,0.75502299,0.408006689,0.40110286,0.472588863,0.471823447,0.562659487,0.42346344,0.442957256,0.618247822,0.665318476,0.510893184,0.608792054,0.591048624,0.646691014,0.729005878,0.740950597,0.723493168,0.708731546,0.588199012,0.541859212,0.617495125,0.575741463,0.664736472,0.72028409,0.692090723,0.656074919,0.715731193,0.363696497,0.360492119,0.401567732,0.525856536,0.440599221,0.547074404,0.51948385,0.537040098,0.597311957,0.583048164,0.605894136,0.642211597,0.59920321,0.61757422,0.654362231,0.660968321,0.683124796,0.605340575,0.601256565,0.512836599,0.589398197,0.712433288,0.681259798,0.599158444,0.587864516,0.393987168,0.416466755,0.469920182,0.526560496,0.416628994,0.394254562,0.420474366,0.493405636,0.440499956,0.523684506,0.534779587,0.371951142,0.513417586,0.470722224,0.343096175,0.473413065,0.511499407,0.496242162,0.515308419,0.531343955,0.52966151,0.629759043,0.627771837,0.569673775,0.56920046,0.571190369,0.589126968,0.621460088,0.649200147,0.629774489
0.580621828,0.612263185,0.741236337,0.737543725,0.516956915,0.628658854,0.826870286,0.844116221,0.615681239,0.505799698,0.75719325,0.840989615,0.767080809,0.868256036,0.868256036,0.527486208,0.665915089,0.482719164,0.814510423,0.73582347,0.822093733,0.705167911,0.622679937,0.719447793,0.632207017,0.636851009,0.793283344,0.539123344,0.570366245,0.567886414,0.574206009,0.603291988,0.752731783,0.80896647,0.879208285,0.866733785,0.868848857,0.791901904,0.825027169,0.828787995,0.773317547,0.883367931,0.765728395,0.899003009,0.860668051,0.554358583,0.541873895,0.526840599,0.53844833,0.704536718,0.692879638,0.757169578,0.698461104,0.727725494,0.676231694,0.600039943,0.534546358,0.713073632,0.762341839,0.782132877,0.79676313,0.82721421,0.812012724,0.679482919,0.707751528,0.701352626,0.600265928,0.64880895,0.735320936,0.638248093,0.621319989,0.54878147,0.515653848,0.488290348,0.541930041,0.374370259,0.442460394,0.290564982,0.440798676,0.497318854,0.467482768,0.38042912,0.379549827,0.715336401,0.686479564,0.688798172,0.624320077,0.734433268,0.764749641,0.730170207,0.590249881,0.708001794,0.482087005,0.566886216,0.264244632,0.440576116,0.43232007,0.294972927,0.5754155,0.64340902,0.595892119,0.627897395,0.663269546,0.511926564,0.677709426,0.670780327,0.584268726,0.640591604,0.532559763,0.59257923,0.60772428,0.483610649,0.480727634
0.236762977,0.320389345,0.42907863,0.452526303,0.519573109,0.540496153,0.555422623,0.559830207,0.604062584,0.601195405,0.674113305,0.686812407,0.747333609,0.527486208,0.69068336,0.69068336,0.791987135,0.644434368,0.732447315,0.746183703,0.804957718,0.742976402,0.726320475,0.815802998,0.741007538,0.773956483,0.872763146,0.704966078,0.724733392,0.731569757,0.737800391,0.756276068,0.60214137,0.660555273,0.729202836,0.736435907,0.815149536,0.679499879,0.710432637,0.798026603,0.801569842,0.789749682,0.785037181,0.867216662,0.90816304,0.674095708,0.684298358,0.665772192,0.66255345,0.707980321,0.668036555,0.762811971,0.691616305,0.78836709,0.801619274,0.718916078,0.644620422,0.838077495,0.662112958,0.66367523,0.696043972,0.759983904,0.722404413,0.695043447,0.691128042,0.710642229,0.655704819,0.678498158,0.765941383,0.710973905,0.674260799,0.618567528,0.617948745,0.612539196,0.656652086,0.507525433,0.564573113,0.387181829,0.554090223,0.635439631,0.605058379,0.50136807,0.511800518,0.617042986,0.614444399,0.658750124,0.652166504,0.65946484,0.666048314,0.672496247,0.634895392,0.679241185,0.558781897,0.633068137,0.297968048,0.503570284,0.493146127,0.331435294,0.617014168,0.670182018,0.623900509,0.654242202,0.69201751,0.55749601,0.737933778,0.730715944,0.591402574,0.631341219,0.587438665,0.642917912,0.685227932,0.60757363,0.588130086
0.337617336,0.399498294,0.613623355,0.656011875,0.681310264,0.764874311,0.708778715,0.740662229,0.797011775,0.675132148,0.798428535,0.825340603,0.821102099,0.665915089,0.791987135,0.711163891,0.711163891,0.781689748,0.464969579,0.530008704,0.554219883,0.570670835,0.625705064,0.698530398,0.64926943,0.717494569,0.618286814,0.832480783,0.788415496,0.798093156,0.827355131,0.811591871,0.344682918,0.366595221,0.424997259,0.426618081,0.503896813,0.435029789,0.429273576,0.564314583,0.65825906,0.479038945,0.626932138,0.54528898,0.605565113,0.817835639,0.837590287,0.827268794,0.778169223,0.513075855,0.477255111,0.548552273,0.51434464,0.611737944,0.717559877,0.734342224,0.798511885,0.717807055,0.298317325,0.323116794,0.352413932,0.479332532,0.387381086,0.537410265,0.499639493,0.504706488,0.588691578,0.572857753,0.595374333,0.697057944,0.62703228,0.65938286,0.707014849,0.735120978,0.729791947,0.641704557,0.638483203,0.476273437,0.607431839,0.808406421,0.765071095,0.655210462,0.624711886,0.281466467,0.362320915,0.443763417,0.540454827,0.382761465,0.36311859,0.380926997,0.485432568,0.40848796,0.595394369,0.554692745,0.384451733,0.54858788,0.544905308,0.322269733,0.487327338,0.560777197,0.516214947,0.545210828,0.573019063,0.552254891,0.668749215,0.651096745,0.615093785,0.613080349,0.622467112,0.594530093,0.671474056,0.702910576,0.651108864
