IL_STATION_ID,NAME,SIGMA_ASQ,PHI (A),NUGGET,RMSE,Y,X,DA,CLon,SON.Precip,AWC,Drain.Index,STAT.Perm,PermBXThick
05593900,East Fork Shoal Creek near Coffeen.  IL,0.019419958,446886.907,0,,1811458.234,568746.8248,56.454216,89.32392,3.207255271,17.69556332,5.739218818,0.556311938,1482.235943
05593945,Shoal Creek near Pierron.  IL,0.042978966,543684.671,0,,1768909.171,559056.6332,678.253729,89.496341,3.2424214,17.81129912,7.620670882,0.649011355,608.7799422
05594000,Shoal Creek near Breese.  IL,0.044233213,676378.3247,0,,1750355.019,560777.0778,735.66758,89.497909,3.252989305,17.85435852,7.607573985,0.648166942,640.3696353
05594090,Sugar Creek at Albers.  IL,0.042973239,632362.3155,0,,1741936.671,549879.0354,124.273299,89.643758,3.402744349,18.44477325,9.307405347,0.782683567,217.4531466
05594330,Mud Creek near Marissa.  IL,0.127070729,1488363.041,0,,1710253.451,542858.9232,72.094268,89.619128,3.424576017,17.60029051,11.99972577,0.72423484,117.9233053
05594800,Silver Creek near Freeburg.  IL,0.04691603,415826.1125,0,,1725466.356,529518.3199,465.753782,89.792627,3.293580257,19.25776717,9.152787911,0.95017837,824.4948894
05595000,Kaskaskia River at New athens.  IL,0.03943947,622642.9173,0,,1716807.104,529623.1749,5189.851679,89.151856,3.269476867,19.3826236,5.88703761,0.801673111,873.8615722
05595500,Marys River near Sparta.  IL,0.036196745,600314.144,0,,1693379.008,551153.505,17.685743,89.630449,3.456486021,17.83177588,13.97159039,0.795069101,25
05595730,Rayse Creek near Waltonville.  IL,0.085409607,855711.8898,0,,1713366.572,602736.0184,86.732287,89.111741,3.498920821,17.24164555,3.240415878,0.605463242,69.37318383
05595800,Sevenmile Creek near Mt. Vernon.  IL,0.06045608,847090.7076,0,,1721859.923,618890.4395,21.206874,88.832084,3.457664274,16.89782994,6.205046595,0.858116615,159.4435654
05596000,Big Muddy River near Benton.  IL,0.071103148,846284.0919,0,,1684670.405,610382.8324,501.486154,88.967967,3.496212358,21.18557166,3.933408721,0.692671004,78.04440168
05597000,Big Muddy River at Plumfield.  IL,0.068499988,967892.9473,0,,1674112.861,607899.8594,791.889881,88.920228,3.496679164,19.94610241,4.064218125,0.709091464,100.3106261
05599500,Big Muddy River at Murphysboro.  IL,0.04000676,681853.4041,0,,1654943.028,580238.8064,2168.2991,89.111776,3.530759033,19.34308477,6.103018997,0.750233391,146.0327531
