1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
0.807658215,0.795555283,0.640131662,0.866442097,0.866442097,0.892606544,0.892316108,0.910073146,0.935926998,0.789369034,0.836350808,0.823640677,0.812533637,0.795333085,0.76602465,0.80545718,0.826009005,0.8353763,0.823787359,0.832861694,0.800980705,0.813211146,0.868256281,0.810268183,0.809429931,0.838235648,0.777809868,0.800818772,0.772512089,0.768180481,0.829695714,0.812620626,0.679097507,0.795772969,0.755472241,0.757544925,0.740117072,0.738203827,0.648361688,0.741578694,0.705229494,0.812801145,0.821023985,0.853483003,0.82779161,0.828778802,0.812456516,0.822052783,0.792471141,0.801044282,0.845454234,0.827766873,0.849654793,0.709523516,0.813956318,0.760292158,0.77460945,0.791150104,0.819951113,0.852607547,0.856384449,0.845231624,0.812898645,0.83178878,0.857672243,0.844472592,0.771419932,0.692048273,0.73166631,0.760859239,0.753395022,0.718203546,0.513832083,0.699898011,0.695262429,0.663441795,0.746613137,0.737308059,0.710059028,0.688963968,0.702713481,0.736374915,0.74505345,0.696552313,0.753008763,0.784897169,0.684583708,0.737680488,0.613622384,0.798592986,0.741020866,0.7764545,0.715162276,0.71273363,0.751157886,0.767293532,0.777422818,0.796534373,0.782755658,0.747648739,0.802976752,0.869835815,0.955192065
0.859577815,0.833108562,0.664017179,0.892606544,0.874903904,0.874903904,0.84876843,0.851019182,0.868997153,0.796017294,0.890250156,0.877073524,0.815392487,0.803156935,0.72219018,0.772477828,0.804950221,0.837033749,0.820274664,0.823108698,0.79250153,0.843945805,0.826170913,0.82968472,0.768216499,0.790266909,0.717950966,0.783762504,0.802412913,0.777972231,0.830898343,0.840641595,0.714887533,0.790439027,0.72995797,0.737368795,0.728697074,0.730448174,0.673587487,0.752958894,0.720777424,0.780682918,0.794256953,0.835622078,0.828529674,0.815818173,0.816478414,0.839312309,0.785974136,0.807515374,0.843971005,0.823484123,0.835960429,0.760866557,0.82781253,0.793275524,0.795047772,0.812655863,0.826843755,0.852497971,0.839146049,0.845404831,0.814439878,0.833836551,0.847846656,0.83287575,0.79298025,0.753677546,0.702070765,0.76994191,0.751671254,0.732483213,0.618137166,0.729105161,0.717584123,0.723231557,0.752799506,0.719264083,0.754208979,0.737422262,0.717296924,0.7303657,0.757270925,0.761199708,0.803825309,0.810751003,0.725277479,0.752069961,0.733530486,0.82694088,0.724961964,0.740348983,0.687816122,0.672221744,0.686889343,0.760872609,0.738699652,0.778806366,0.734826912,0.690086278,0.765606865,0.816258317,0.836812555
0.871843768,0.858582487,0.639404935,0.892316108,0.84876843,0.959314443,0.959314443,0.939551019,0.955229154,0.774018487,0.836712322,0.824164756,0.848429288,0.836403324,0.808482671,0.837162372,0.832420785,0.875314287,0.82894049,0.848184398,0.816993288,0.843524015,0.898553502,0.894816239,0.80826882,0.855537833,0.801203887,0.827864942,0.796093063,0.801899204,0.869159035,0.858192828,0.730060754,0.81876778,0.747777645,0.761756617,0.755202847,0.741748671,0.699153146,0.778847372,0.765141384,0.826630527,0.849864241,0.881570965,0.858528733,0.867870474,0.842766938,0.875968618,0.785728499,0.81408097,0.862790264,0.850011094,0.859748626,0.794128813,0.832440449,0.847965122,0.849362101,0.864249125,0.875789861,0.829295395,0.833123444,0.826200963,0.806367697,0.811395991,0.840840853,0.817738489,0.759526798,0.716713294,0.707697333,0.743272296,0.730429467,0.689063233,0.536110527,0.663794119,0.657514563,0.6700778,0.69369685,0.668890583,0.734016,0.701861214,0.677456908,0.686181944,0.686625351,0.726297412,0.760079979,0.780804988,0.668679139,0.695063621,0.648278705,0.773627128,0.701797791,0.728519604,0.677911344,0.685637279,0.697193641,0.698319404,0.697772787,0.754875812,0.730569932,0.725549035,0.773931922,0.80895198,0.853814484
0.805023131,0.768730592,0.713686438,0.910073146,0.851019182,0.939551019,0.90818172,0.90818172,0.952998769,0.737540058,0.836509052,0.83109742,0.853276902,0.838186721,0.805176,0.841433194,0.846178936,0.887648806,0.843701719,0.872670892,0.8431567,0.856621901,0.92325047,0.908448638,0.830402472,0.875676027,0.80266213,0.837576015,0.810150511,0.812018077,0.881438781,0.865699839,0.742963969,0.848554482,0.774848711,0.786576172,0.782275757,0.763946317,0.71947889,0.804877018,0.788344772,0.845365826,0.867370112,0.899198429,0.873326788,0.881210751,0.855964176,0.880205426,0.815207804,0.831499097,0.877294416,0.862013428,0.877497457,0.795137915,0.841651519,0.83819468,0.840269787,0.860203836,0.872643912,0.841216583,0.852517114,0.828544994,0.817822735,0.817720408,0.850251855,0.834486249,0.765286915,0.713298076,0.667923515,0.742863116,0.725266361,0.680974143,0.452956696,0.662764298,0.653799033,0.667609534,0.695288435,0.682212794,0.7352333,0.699902199,0.682318247,0.691827508,0.688125938,0.716866642,0.759535775,0.776505915,0.673461453,0.709968108,0.634126967,0.781547632,0.70507205,0.700802471,0.663306246,0.648957864,0.674589357,0.687426649,0.686815151,0.733751322,0.715835815,0.69286424,0.757836441,0.797903132,0.861380881
0.852281062,0.840872028,0.666017786,0.935926998,0.868997153,0.955229154,0.952998769,0.950451622,0.802782672,0.818222253,0.800038584,0.826398211,0.814273436,0.800094816,0.819874816,0.815276071,0.830696629,0.805989716,0.821082425,0.782107291,0.80522294,0.851675181,0.860500059,0.796193355,0.814768438,0.78420025,0.807754469,0.747239257,0.768715843,0.824832609,0.805304075,0.663886876,0.754322795,0.700580359,0.7173897,0.706221312,0.692811784,0.650499076,0.718027254,0.688426294,0.813484747,0.835930863,0.845344739,0.834801051,0.834954511,0.815040271,0.837718687,0.783095281,0.792652696,0.832582985,0.824277577,0.833252966,0.80830066,0.816369199,0.732244353,0.809497382,0.832736855,0.842945305,0.803945353,0.80439943,0.79917428,0.77993883,0.786491684,0.810681053,0.786218714,0.728319134,0.676286297,0.687505254,0.713894961,0.704229235,0.663088837,0.351403796,0.631272888,0.628039193,0.634908679,0.672338194,0.636313278,0.695893461,0.670939614,0.651326733,0.660939837,0.660102225,0.672052215,0.717936926,0.760456669,0.641557876,0.68489263,0.631062059,0.751748013,0.699308215,0.754141157,0.684005638,0.722258278,0.720938835,0.711046057,0.716509414,0.787666068,0.762799889,0.768497587,0.796034229,0.829111594,0.868648124,
0.639267256,0.583073417,0.854026115,0.789369034,0.796017294,0.774018487,0.737540058,0.950451622,0.77411611,0.77411611,0.841584968,0.856206403,0.85620712,0.836384704,0.789838739,0.837026384,0.855793356,0.86829389,0.854617004,0.873421382,0.839742071,0.853260545,0.927474014,0.91152042,0.8245349,0.856354705,0.793730088,0.830421381,0.799072076,0.793891234,0.858849698,0.844590699,0.725329763,0.834577087,0.769954752,0.779140573,0.760626843,0.75850467,0.69558154,0.791508377,0.75145839,0.84435324,0.866525309,0.88744311,0.871454909,0.867738084,0.849134114,0.855203483,0.824771969,0.834309368,0.881138562,0.865745343,0.877685885,0.772468007,0.849730901,0.817582517,0.81552522,0.843818139,0.854121726,0.853595425,0.855457484,0.84932316,0.819329746,0.828427772,0.868451882,0.844653789,0.77862447,0.725369057,0.73892964,0.762637258,0.74245273,0.699868606,0.441834403,0.675683641,0.667286422,0.672215431,0.715881638,0.697487121,0.736164652,0.710248247,0.687138322,0.715689823,0.708152671,0.725387854,0.767792722,0.793788956,0.69859775,0.739291125,0.643148714,0.791652063,0.710885077,0.738475603,0.68984849,0.689208778,0.711196978,0.710262863,0.72083775,0.774007737,0.758045726,0.722727589,0.785845736,0.831689676,0.901627192
0.767258155,0.771385418,0.566845471,0.836350808,0.890250156,0.836712322,0.836509052,0.802782672,0.841584968,0.730617625,0.830166403,0.730617625,0.718595577,0.723099399,0.73420403,0.736257392,0.703289169,0.714071323,0.696129193,0.698632039,0.644737584,0.691877123,0.649255315,0.664000991,0.70580345,0.721198171,0.716761194,0.718263571,0.657826831,0.704375657,0.705110847,0.664984652,0.532330487,0.575712767,0.570239259,0.584587368,0.5602131,0.552624462,0.522424208,0.56145965,0.538021768,0.70308259,0.728284208,0.722232162,0.695062587,0.729085429,0.68968355,0.740753828,0.672265813,0.693529596,0.702184237,0.675721176,0.707853327,0.640856942,0.704829549,0.741504238,0.746703839,0.749041941,0.752919925,0.775820159,0.736469426,0.735920177,0.753159811,0.758100658,0.739685278,0.734917737,0.60787637,0.648203553,0.623295341,0.629365052,0.670605404,0.621099458,0.414254573,0.599340388,0.594410217,0.616610751,0.635191773,0.615299755,0.662869896,0.623403669,0.609302466,0.573883893,0.592291337,0.621311069,0.666198677,0.684653403,0.596546828,0.6622301,0.623920663,0.711284298,0.754438346,0.884630151,0.76973136,0.816918478,0.807910409,0.762054225,0.732578304,0.75142126,0.750466373,0.842321311,0.80390467,0.809367826,0.761212873
0.802028058,0.804262889,0.5760861,0.823640677,0.877073524,0.824164756,0.83109742,0.818222253,0.856206403,0.718595577,0.748952024,0.820117566,0.820117566,0.79719338,0.665788065,0.75900711,0.826146474,0.830166403,0.860783047,0.748952024,0.788766633,0.851669881,0.824707516,0.852838097,0.775544613,0.802301961,0.681196626,0.756723121,0.79504791,0.754881105,0.813235813,0.819449276,0.753088674,0.764984767,0.728425977,0.745789581,0.728591958,0.743928944,0.668653714,0.700504098,0.727211147,0.803731482,0.800034288,0.844158309,0.854307131,0.818569925,0.846095481,0.825058768,0.834882551,0.847011993,0.889531962,0.868975535,0.875140908,0.768019997,0.900757297,0.746950952,0.744082066,0.78043168,0.7956312,0.916316748,0.895920685,0.900918671,0.888784863,0.895259398,0.904534668,0.885785724,0.812199126,0.788185416,0.738491012,0.796875313,0.781953456,0.760639711,0.736260672,0.756882859,0.742092484,0.7652593,0.785767662,0.761849057,0.771981799,0.781337312,0.801473102,0.754375716,0.76852732,0.799007361,0.834179908,0.866022854,0.777152482,0.786451565,0.712137839,0.885467216,0.788506144,0.727011225,0.666508734,0.630365454,0.659093588,0.722867173,0.68335078,0.763851828,0.694616353,0.62067828,0.713408495,0.786795419,0.834907308
0.836224005,0.807376428,0.587528921,0.812533637,0.815392487,0.848429288,0.853276902,0.800038584,0.85620712,0.723099399,0.788766633,0.79719338,0.975833975,0.975833975,0.892426885,0.954907071,0.967364862,0.836551726,0.905688922,0.868917865,0.846428057,0.89336271,0.794652876,0.847434983,0.905803186,0.800569964,0.878700845,0.927414382,0.891129405,0.872194809,0.800282273,0.786387498,0.753981734,0.818220651,0.789251076,0.815958255,0.796140561,0.778687994,0.738769574,0.795495641,0.77759863,0.925852264,0.936536324,0.841656657,0.818199233,0.801849391,0.840021973,0.809626823,0.861085724,0.891833357,0.865621562,0.821122627,0.873741372,0.828309437,0.847749472,0.870342532,0.752788007,0.897067751,0.778381914,0.901204961,0.899387432,0.847333326,0.865870698,0.881657089,0.843626445,0.868806081,0.762027803,0.747506718,0.685215328,0.794177315,0.75660206,0.73121523,0.699443764,0.736062175,0.71421476,0.758799699,0.761462958,0.747177378,0.782814148,0.77355791,0.756418468,0.764983564,0.750797014,0.723606977,0.778262143,0.843553321,0.695090329,0.688209922,0.740535921,0.878394373,0.72462371,0.669256573,0.648388573,0.595142094,0.599701924,0.690894071,0.679922763,0.712133711,0.674339481,0.599588068,0.694442413,0.779299052,0.803014102
0.823393727,0.788437422,0.584208447,0.795333085,0.803156935,0.836403324,0.838186721,0.826398211,0.836384704,0.73420403,0.851669881,0.665788065,0.892426885,0.902431702,0.902431702,0.955252386,0.943707515,0.981934338,0.885875141,0.915726942,0.84399455,0.888142508,0.7814579,0.831867428,0.890496212,0.93142492,0.876171204,0.933624311,0.895396646,0.889604296,0.87403229,0.846697609,0.764193628,0.801820125,0.77967134,0.804369199,0.785277137,0.766331384,0.737102227,0.817345772,0.760417634,0.905334756,0.921753489,0.934080139,0.906388175,0.915844939,0.893734624,0.899001101,0.837168292,0.866569307,0.896454219,0.892889793,0.895478817,0.841207277,0.869070335,0.87383496,0.885504894,0.896715408,0.894713216,0.822686514,0.845444147,0.787714131,0.800584906,0.81002771,0.814990967,0.823269405,0.771845798,0.741747633,0.664212,0.724699385,0.72438348,0.607034165,0.640851128,0.627917023,0.615153238,0.65343668,0.646608106,0.640429392,0.742070665,0.676600455,0.653504711,0.634996646,0.629658722,0.715108973,0.750806613,0.762999156,0.6800626,0.672683735,0.634358512,0.756979475,0.678683859,0.693489009,0.644033407,0.603937692,0.60784309,0.639173117,0.679731613,0.671530204,0.677599793,0.649611192,0.71303551,0.762346461,0.770614265
