NY_STATION_ID,NAME,SIGMA_ASQ,PHI (A),NUGGET,RMSE,NORTHING,EASTING,DRNAREA,OUTLET_XM,OUTLET_YM,CENTROID_XM,CENTROID_YM,PRECIP05,PRECIP06,PRECIP07,PRECIPSUM,TMAX06,HYDGRP_A,HYDGRP_B,SL_LO,ELEV1200,ANN_RUNF
1199050,Salmon Creek at Lime Rock. CT,0.019728272,432386.9026,0,0.039035424,4650399.71,629057.84,29.383539,633385,4644615,4650400.35,629057.95,4.629264,4.190551,4.542803,13.422378,75.37352,4.904682,31.19255,9.219028,37.966453,23.37874
1200000,Tenmile River near Gaylordsville. CT,0.017648674,379666.6667,0,0.040151329,4628603.12,620065.83,203.084546,622505,4612975,620065.83,4628603.12,4.426035,4.111752,4.524669,13.019543,77.02655,1.520722,40.92774,6.184851,6.468021,22.71565
1312000,Hudson River near Newcomb. NY,0.0218983,402145.3678,0,0.037349786,4874963.62,569297.76,189.916716,569645,4868455,569297.76,4874963.62,3.874444,4.099028,4.284618,12.946614,71.00393,2.30837,7.297031,13.050867,100,27.64729
1329490,Battenkill below mill at Battenville. NY,0.007219123,379666.6667,0,0.040741022,4780286.66,645859.66,396.110112,628415,4774095,645859.66,4780286.66,4.588362,4.508087,4.669937,13.935485,74.131394,6.154711,26.32324,8.418977,39.956464,25.05693
1330000,Glowegee Creek at West Milton. NY,0.00402188,227800,0,0.031915399,4765545.38,580843.46,24.904704,587385,4764785,580843.46,4765545.38,4.261909,4.156783,3.745102,11.904247,76.241786,6.642789,59.63646,22.19114,1.434959,18.97749
1332500,Hoosic River near Williamstown. MA,0.010428513,379666.6667,0,0.030366735,4724264.76,654578.48,126.333007,650785,4729195,654578.48,4724264.76,4.795461,4.73185,4.787606,14.39548,72.580784,1.348273,29.72673,18.941483,71.158004,30.66059
1333000,Green River at Williamstown. MA,0.013134368,379666.6667,0,0.038343148,4722115.45,644597.87,42.675706,647675,4730085,644597.87,4722115.45,4.730134,4.560327,4.628276,13.973048,73.120406,4.313156,15.65496,42.003288,67.480012,27.54342
1334000,Walloomsac River near North Bennington. VT,0.012017128,379666.6667,0,0.044151307,4750605.13,650415.53,115.54237,642305,4752635,650415.53,4750605.13,4.63402,4.903697,4.863402,14.490882,72.531266,2.248211,37.35361,60.095423,59.426998,29.07883
1334500,Hoosic River near Eagle Bridge. NY,0.011208437,379666.6667,0,0.039822302,4737276.01,646053.29,511.301751,632385.04,4755258.93,646053.29,4737276.01,4.517504,4.580453,4.577382,13.781957,73.482278,2.91598,22.98518,8.975893,54.775073,27.0167
1343060,West Canada Creek near Wilmurt. NY,0.010668655,379666.6667,0,0.034680318,4812404.66,521506.97,237.651471,633385,4644615,4650400.35,629057.95,4.629264,4.190551,4.542803,13.422378,75.37352,4.904682,31.19255,9.219028,37.966453,23.37874
1349000,Otsquago Creek at Fort Plain. NY,0.006922135,227081.4333,0,0.037532775,4751770.33,520670.84,61.146857,530525,4753045,520670.84,4751770.33,3.816118,4.218764,4.144346,12.185106,76.424594,0.517337,35.95512,33.543434,20.297093,20.46341
1349150,Canajoharie Creek near Canajoharie. NY,0.006055549,227800.0029,0,0.032640867,4742681.85,528506.97,59.462747,633385,4644615,4650400.35,629057.95,4.629264,4.190551,4.542803,13.422378,75.37352,4.904682,31.19255,9.219028,37.966453,23.37874
1349700,East Kill near Jewett Center. NY,0.016691668,320061.5981,0,0.029077971,4678310.42,566422.18,35.598961,633385,4644615,4650400.35,629057.95,4.629264,4.190551,4.542803,13.422378,75.37352,4.904682,31.19255,9.219028,37.966453,23.37874
1349705,Schoharie Creek near Lexington. NY,0.019605418,379666.6667,0,0.026777569,4674309.71,566287.07,96.819841,633385,4644615,4650400.35,629057.95,4.629264,4.190551,4.542803,13.422378,75.37352,4.904682,31.19255,9.219028,37.966453,23.37874
1349711,West Kill below Hunter Brook near Spruceton. NY,0.03004846,424475.2877,0,0.026256953,4670104.08,561521.09,4.863971,633385,4644615,4650400.35,629057.95,4.629264,4.190551,4.542803,13.422378,75.37352,4.904682,31.19255,9.219028,37.966453,23.37874
1349810,West Kill near West Kill. NY,0.023145777,379666.6667,0,0.024913004,4671634.26,555098.23,26.916569,633385,4644615,4650400.35,629057.95,4.629264,4.190551,4.542803,13.422378,75.37352,4.904682,31.19255,9.219028,37.966453,23.37874
1349950,Batavia Kill at Red Falls near Prattsville. NY,0.017457351,346162.1275,0,0.030441614,4685118.53,561787.34,68.571785,633385,4644615,4650400.35,629057.95,4.629264,4.190551,4.542803,13.422378,75.37352,4.904682,31.19255,9.219028,37.966453,23.37874
1350000,Schoharie Creek at Prattsville. NY,0.01431251,303733.3333,0,0.028360022,4678527.28,560452.76,236.883632,546445,4685405,560452.76,4678527.28,4.416559,4.226811,3.997634,12.12426,71.805704,2.551796,3.269254,21.538684,99.681938,27.57273
1350035,Bear Kill near Prattsville. NY,0.013243726,303733.3333,0,0.025528063,4691901.79,539058.29,25.349807,633385,4644615,4650400.35,629057.95,4.629264,4.190551,4.542803,13.422378,75.37352,4.904682,31.19255,9.219028,37.966453,23.37874
